subsite,node,sensor,stream,parameter,qcConfig,source,notes
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument,{'inp': 'conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.99324, 4.47959], 'fail_span': [0, 9]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument_recovered,{'inp': 'conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.99324, 4.47959], 'fail_span': [0, 9]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.99324, 4.47959], 'fail_span': [0, 9]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'ctdbp_seawater_conductivity'},"{'qartod': {'gross_range_test': {'suspect_span': [3.99324, 4.47959], 'fail_span': [0, 9]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument,{'inp': 'practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.91629, 35.92355], 'fail_span': [0, 42]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument_recovered,{'inp': 'practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.91629, 35.92355], 'fail_span': [0, 42]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'practical_salinity'},"{'qartod': {'gross_range_test': {'suspect_span': [34.91629, 35.92355], 'fail_span': [0, 42]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument,{'inp': 'temp'},"{'qartod': {'gross_range_test': {'suspect_span': [11.66853, 16.10153], 'fail_span': [-5, 35]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument_recovered,{'inp': 'temp'},"{'qartod': {'gross_range_test': {'suspect_span': [11.66853, 16.10153], 'fail_span': [-5, 35]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'ctdbp_seawater_temperature'},"{'qartod': {'gross_range_test': {'suspect_span': [11.66853, 16.10153], 'fail_span': [-5, 35]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument,{'inp': 'pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [132.6082, 136.674], 'fail_span': [0, 5000]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_dcl_instrument_recovered,{'inp': 'pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [132.6082, 136.674], 'fail_span': [0, 5000]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [132.6082, 136.674], 'fail_span': [0, 5000]}}}",,User range based on data collected through 2021-01-01.
CP01CNSM,MFD37,03-CTDBPD000,ctdbp_cdef_instrument_recovered,{'inp': 'ctdbp_seawater_pressure'},"{'qartod': {'gross_range_test': {'suspect_span': [132.6082, 136.674], 'fail_span': [0, 5000]}}}",,User range based on data collected through 2021-01-01.
